Rk,Tm,Lg,G,W,L
1,HOU,AL,162,107,55
2,LAD,NL,162,106,56
3,NYY,AL,162,103,59
4,MIN,AL,162,101,61
5,ATL,NL,162,97,65
6,OAK,AL,162,97,65
7,TBR,AL,162,96,66
8,WSN,NL,162,93,69
9,CLE,AL,162,93,69
10,STL,NL,162,91,71
11,MIL,NL,162,89,73
12,NYM,NL,162,86,76
13,ARI,NL,162,85,77
14,BOS,AL,162,84,78
15,CHC,NL,162,84,78
16,PHI,NL,162,81,81
17,TEX,AL,162,78,84
18,SFG,NL,162,77,85
19,CIN,NL,162,75,87
20,CHW,AL,161,72,89
21,LAA,AL,162,72,90
22,COL,NL,162,71,91
23,SDP,NL,162,70,92
24,PIT,NL,162,69,93
25,SEA,AL,162,68,94
26,TOR,AL,162,67,95
27,KCR,AL,162,59,103
28,MIA,NL,162,57,105
29,BAL,AL,162,54,108
30,DET,AL,161,47,114
